0,B,Basophil,CD4,CD8,Cholangiocyte,Eosinophil,Hepatocyte,Kupffer,LSEC,Monocyte,NK,Neutrophil,Stellate,otherCells
ANIT_1,0,0,0,0,0.8465,0,0.1353,0.0081,0,0,0,0.0101,0,0
ANIT_2,0,0,0,0,0.9906,0,7e-04,0.0022,0,1e-04,0,0.0061,2e-04,0
ANIT_3,1e-04,2e-04,1e-04,0,0.6917,0,0.162,0.0254,0,0,0,0.0222,0.007,0.0914
ANIT_4,0,0,0,0,0.8015,0,0.0809,0.0313,0,0,2e-04,0.0125,0.0191,0.0545
APAP_1,0,0.0144,0,1e-04,0.4218,0,0.1431,0.0216,0,0,0,0.0484,0.0202,0.3304
APAP_11,0,0.0014,0,0.0584,0.4964,0,0.2308,0.0353,0,0,0,0.0308,0.0304,0.1165
APAP_2,0,0,1e-04,0.0482,0.7477,0,0.1695,0.0141,0,0.0076,0,0.0035,0.0093,0
APAP_4,0,7e-04,0,0.0594,0.6215,0,0.2221,0.0487,0,0.0094,0,0.0081,0.0299,2e-04
APAP_6,0,0,0.018,0.1246,0.5801,0,0.1891,0.044,0,0.0054,0,0.005,0.0304,0.0034
APAP_8,0,0.0016,0,0.0901,0.4269,0,0.2266,0.0329,0,0,0,0.0303,0.0251,0.1664
Ctrl_1,0,0,0.0271,0.0082,0.8335,0,0.0535,0.0312,0,0,0,4e-04,0.0251,0.021
Ctrl_10,0,0,0.011,0.0114,0.9339,0,0.0312,0.0095,1e-04,1e-04,0,0,0.0027,0
Ctrl_12,0,0,0.0064,0,0.9809,0,0.0042,0.0059,0,0,0,0,0.0025,0
Ctrl_15,1e-04,0,0.0678,0.04,0.618,0,0.0927,0.0519,0,0,0,7e-04,0.0393,0.0895
Ctrl_16,0,9e-04,0.1682,0.0958,0.437,0,0,0.048,0,0,0,8e-04,0.0473,0.2018
Ctrl_17,0,0,0.0075,5e-04,0.9708,0,0.0205,1e-04,0,4e-04,0,0,4e-04,0
Ctrl_18,0,0.0018,0.0639,0.1094,0.4448,0,0.0944,0.0597,0,0,0,0.0058,0.0222,0.1979
Ctrl_2,0,0,0.016,0,0.9441,0,0.0128,0.016,0,0,0,2e-04,0.0109,0
Ctrl_3,0,0,0.0739,0.0461,0.6043,0,0.0378,0.0501,0,1e-04,0,2e-04,0.0422,0.1454
Ctrl_4,0,0,0.0136,0,0.9621,0,0.0074,0.0065,0,0,0,0,0.0103,0
CCl4_1,0,0.0047,0.0508,0.1581,0.6522,0,0.0831,0.0282,0,3e-04,0,0.0061,0.0164,0
CCl4_10,0,0.0074,0.0561,0.1972,0.4941,0,0.1818,0.0223,0,0.0072,0,4e-04,0.0335,0
CCl4_11,0,0.0216,0,0.3699,0.2635,0,0.2294,0.0468,0.0112,0.01,0,0,0.0475,0
CCl4_12,0,0.0015,0.0676,0.1793,0.5979,0,0.1217,0.0161,0,0.0089,0,0,0.0069,0
CCl4_5,0,0.0209,0.0916,0.1762,0.3589,0,0.1719,0.048,0,0.0036,0,0.0043,0.0414,0.0832
CCl4_6,0,0.01,0.1251,0.2482,0.4798,0,0.0096,0.0454,0,1e-04,0,0.0018,0.028,0.052
CCl4_8,0,0.0123,0.1062,0.1876,0.464,0,0.134,0.0262,0,1e-04,0,2e-04,0.0267,0.0427
Ctrl_7,0,0,0,0.0134,0.8698,0,0.0818,0.0253,0,0,0,0,0.0097,0
Ctrl_8,0,0,0.0236,0.0187,0.8369,0,0.0502,0.0484,0,0,0,0,0.0222,0
Ctrl_9,1e-04,1e-04,0.006,5e-04,0.9572,1e-04,0.0203,0.0101,1e-04,1e-04,2e-04,6e-04,0.0046,0
ConA_11,0,0.0047,0,0.0308,0.3492,0,0.1769,0.004,0,0,0.0134,0.0359,0.0283,0.3568
ConA_12,2e-04,0.0106,0,0.0242,0.3376,0,0.1722,0.0028,0,0,0.0181,0.0514,0.0184,0.3643
ConA_2,0,0.0063,0,0,0.3415,0,0.1546,0.0081,0,0,0.0154,0.047,0.0285,0.3985
ConA_3,0,0.0065,0,6e-04,0.2991,0,0.1659,0.0108,0,0,0.0095,0.0489,0.024,0.4347
ConA_4,3e-04,0.0064,0,0.0056,0.3524,0,0.1503,0.007,0,0,0.0102,0.0455,0.033,0.3893
ConA_5,0,0.0117,0,0.0069,0.2494,0,0.1961,0.0022,0,0,0.0133,0.0521,0.0192,0.4491
ConA_8,0,0.0015,0,1e-04,0.4959,0,0.1011,0.0079,0,0,0.0127,0.0419,0.0197,0.3191
CIP_7,0,0,0.0172,0,0.9821,0,0,1e-04,0,5e-04,0,0,0,0
CIP_8,0,1e-04,0.0216,0.091,0.6419,1e-04,0.119,0.0573,0,0,0,9e-04,0.0361,0.0321
CIV_7,0,0,0.0804,0.0582,0.6362,0,0.0454,0.051,0,0,0,5e-04,0.04,0.0882
CIV_8,0,0,0,0,0.9997,0,0,0,0,0,0,0,1e-04,0
MDA_1,5e-04,0,3e-04,0.0013,0.9,2e-04,0.0727,0.008,7e-04,0.001,0,0.0039,0.0112,1e-04
MDA_2,0,0,0,0.0145,0.7491,0,0.1891,0.0177,0,0,0,0.017,0.0045,0.008
MDA_3,0,2e-04,0,5e-04,0.7378,0,0.1547,0.0205,0,0,0,0.0164,0.0122,0.0576
MDA_4,3e-04,0,0,0,0.7978,0,0.1368,0.0227,0,0,0,0.0165,1e-04,0.0257
MDA_12,0,0,2e-04,1e-04,0.6703,1e-04,0.1901,0.0295,1e-04,0,0,0.0248,0.002,0.0829
MDA_7,0,0,5e-04,0.041,0.6709,0,0.1986,0.0272,0,0,0,0.0186,0.0144,0.0286
MDA_8,0,0,0,0,0.8612,0,0.0825,0.0155,0,0,0,0.015,0.0037,0.022
