,Eosinophil,pair
"('B',)",0.5978,"('B',)"
"('Basophil',)",-0.6984,"('Basophil',)"
"('CD4',)",0.3261,"('CD4',)"
"('CD8',)",-0.0102,"('CD8',)"
"('Cholangiocyte',)",0.4404,"('Cholangiocyte',)"
"('Hepatocyte',)",0.1678,"('Hepatocyte',)"
"('Kupffer',)",0.3844,"('Kupffer',)"
"('LSEC',)",0.6447,"('LSEC',)"
"('Monocyte',)",0.2657,"('Monocyte',)"
"('NK',)",-0.2482,"('NK',)"
"('Neutrophil',)",0.0859,"('Neutrophil',)"
"('Stellate',)",0.6113,"('Stellate',)"
"('B', 'Basophil')",-0.6853,"('B', 'Basophil')"
"('B', 'CD4')",0.4446,"('B', 'CD4')"
"('B', 'CD8')",0.6203,"('B', 'CD8')"
"('B', 'Cholangiocyte')",0.649,"('B', 'Cholangiocyte')"
"('B', 'Hepatocyte')",0.4192,"('B', 'Hepatocyte')"
"('B', 'Kupffer')",0.0367,"('B', 'Kupffer')"
"('B', 'LSEC')",0.2918,"('B', 'LSEC')"
"('B', 'Monocyte')",-0.4787,"('B', 'Monocyte')"
"('B', 'NK')",0.4936,"('B', 'NK')"
"('B', 'Neutrophil')",-0.2814,"('B', 'Neutrophil')"
"('B', 'Stellate')",0.1708,"('B', 'Stellate')"
"('Basophil', 'CD4')",-0.6794,"('Basophil', 'CD4')"
"('Basophil', 'CD8')",-0.3292,"('Basophil', 'CD8')"
"('Basophil', 'Cholangiocyte')",0.3074,"('Basophil', 'Cholangiocyte')"
"('Basophil', 'Hepatocyte')",-0.1169,"('Basophil', 'Hepatocyte')"
"('Basophil', 'Kupffer')",0.2273,"('Basophil', 'Kupffer')"
"('Basophil', 'LSEC')",0.2258,"('Basophil', 'LSEC')"
"('Basophil', 'Monocyte')",-0.5136,"('Basophil', 'Monocyte')"
"('Basophil', 'NK')",-0.7063,"('Basophil', 'NK')"
"('Basophil', 'Neutrophil')",-0.423,"('Basophil', 'Neutrophil')"
"('Basophil', 'Stellate')",0.0961,"('Basophil', 'Stellate')"
"('CD4', 'CD8')",0.2383,"('CD4', 'CD8')"
"('CD4', 'Cholangiocyte')",0.5182,"('CD4', 'Cholangiocyte')"
"('CD4', 'Hepatocyte')",0.5308,"('CD4', 'Hepatocyte')"
"('CD4', 'Kupffer')",0.1187,"('CD4', 'Kupffer')"
"('CD4', 'LSEC')",0.3444,"('CD4', 'LSEC')"
"('CD4', 'Monocyte')",-0.1152,"('CD4', 'Monocyte')"
"('CD4', 'NK')",0.1539,"('CD4', 'NK')"
"('CD4', 'Neutrophil')",0.0022,"('CD4', 'Neutrophil')"
"('CD4', 'Stellate')",0.3222,"('CD4', 'Stellate')"
"('CD8', 'Cholangiocyte')",0.036,"('CD8', 'Cholangiocyte')"
"('CD8', 'Hepatocyte')",0.1,"('CD8', 'Hepatocyte')"
"('CD8', 'Kupffer')",-0.0231,"('CD8', 'Kupffer')"
"('CD8', 'LSEC')",0.1388,"('CD8', 'LSEC')"
"('CD8', 'Monocyte')",0.0644,"('CD8', 'Monocyte')"
"('CD8', 'NK')",0.5329,"('CD8', 'NK')"
"('CD8', 'Neutrophil')",0.1989,"('CD8', 'Neutrophil')"
"('CD8', 'Stellate')",-0.0793,"('CD8', 'Stellate')"
"('Cholangiocyte', 'Hepatocyte')",0.4512,"('Cholangiocyte', 'Hepatocyte')"
"('Cholangiocyte', 'Kupffer')",0.0696,"('Cholangiocyte', 'Kupffer')"
"('Cholangiocyte', 'LSEC')",0.4006,"('Cholangiocyte', 'LSEC')"
"('Cholangiocyte', 'Monocyte')",0.3768,"('Cholangiocyte', 'Monocyte')"
"('Cholangiocyte', 'NK')",-0.0429,"('Cholangiocyte', 'NK')"
"('Cholangiocyte', 'Neutrophil')",0.4984,"('Cholangiocyte', 'Neutrophil')"
"('Cholangiocyte', 'Stellate')",-0.1,"('Cholangiocyte', 'Stellate')"
"('Hepatocyte', 'Kupffer')",0.6228,"('Hepatocyte', 'Kupffer')"
"('Hepatocyte', 'LSEC')",0.4538,"('Hepatocyte', 'LSEC')"
"('Hepatocyte', 'Monocyte')",0.569,"('Hepatocyte', 'Monocyte')"
"('Hepatocyte', 'NK')",0.4011,"('Hepatocyte', 'NK')"
"('Hepatocyte', 'Neutrophil')",0.6606,"('Hepatocyte', 'Neutrophil')"
"('Hepatocyte', 'Stellate')",-0.0995,"('Hepatocyte', 'Stellate')"
"('Kupffer', 'LSEC')",0.4673,"('Kupffer', 'LSEC')"
