,Monocyte,pair
"('B',)",0.7385,"('B',)"
"('Basophil',)",-0.1398,"('Basophil',)"
"('CD4',)",0.7989,"('CD4',)"
"('CD8',)",0.4039,"('CD8',)"
"('Cholangiocyte',)",0.7623,"('Cholangiocyte',)"
"('Eosinophil',)",0.3871,"('Eosinophil',)"
"('Hepatocyte',)",0.3722,"('Hepatocyte',)"
"('Kupffer',)",0.4413,"('Kupffer',)"
"('LSEC',)",0.577,"('LSEC',)"
"('NK',)",0.0631,"('NK',)"
"('Neutrophil',)",0.6167,"('Neutrophil',)"
"('Stellate',)",0.6352,"('Stellate',)"
"('B', 'Basophil')",0.7504,"('B', 'Basophil')"
"('B', 'CD4')",0.7719,"('B', 'CD4')"
"('B', 'CD8')",0.8234,"('B', 'CD8')"
"('B', 'Cholangiocyte')",0.7619,"('B', 'Cholangiocyte')"
"('B', 'Eosinophil')",0.3933,"('B', 'Eosinophil')"
"('B', 'Hepatocyte')",0.6823,"('B', 'Hepatocyte')"
"('B', 'Kupffer')",0.2986,"('B', 'Kupffer')"
"('B', 'LSEC')",0.5369,"('B', 'LSEC')"
"('B', 'NK')",0.7688,"('B', 'NK')"
"('B', 'Neutrophil')",0.503,"('B', 'Neutrophil')"
"('B', 'Stellate')",0.6767,"('B', 'Stellate')"
"('Basophil', 'CD4')",0.6845,"('Basophil', 'CD4')"
"('Basophil', 'CD8')",0.2205,"('Basophil', 'CD8')"
"('Basophil', 'Cholangiocyte')",0.0941,"('Basophil', 'Cholangiocyte')"
"('Basophil', 'Eosinophil')",0.1345,"('Basophil', 'Eosinophil')"
"('Basophil', 'Hepatocyte')",0.3833,"('Basophil', 'Hepatocyte')"
"('Basophil', 'Kupffer')",0.4741,"('Basophil', 'Kupffer')"
"('Basophil', 'LSEC')",0.5688,"('Basophil', 'LSEC')"
"('Basophil', 'NK')",-0.0554,"('Basophil', 'NK')"
"('Basophil', 'Neutrophil')",0.1082,"('Basophil', 'Neutrophil')"
"('Basophil', 'Stellate')",0.648,"('Basophil', 'Stellate')"
"('CD4', 'CD8')",0.6856,"('CD4', 'CD8')"
"('CD4', 'Cholangiocyte')",0.6321,"('CD4', 'Cholangiocyte')"
"('CD4', 'Eosinophil')",0.6942,"('CD4', 'Eosinophil')"
"('CD4', 'Hepatocyte')",0.7038,"('CD4', 'Hepatocyte')"
"('CD4', 'Kupffer')",0.4607,"('CD4', 'Kupffer')"
"('CD4', 'LSEC')",0.6544,"('CD4', 'LSEC')"
"('CD4', 'NK')",0.8302,"('CD4', 'NK')"
"('CD4', 'Neutrophil')",0.5875,"('CD4', 'Neutrophil')"
"('CD4', 'Stellate')",0.6667,"('CD4', 'Stellate')"
"('CD8', 'Cholangiocyte')",0.7758,"('CD8', 'Cholangiocyte')"
"('CD8', 'Eosinophil')",0.5795,"('CD8', 'Eosinophil')"
"('CD8', 'Hepatocyte')",0.7568,"('CD8', 'Hepatocyte')"
