,variable,value,status
0,0hr,1.1102230246251565e-16,bad
1,0hr,0.0,bad
2,0hr,0.0,bad
3,0hr,0.0,bad
4,0hr,2.0816681711721685e-17,bad
5,0hr,0.0,bad
6,0hr,-2.7755575615628914e-17,bad
7,0hr,-1.3877787807814457e-17,bad
8,0hr,0.0,bad
9,0hr,0.0,bad
10,12hr,0.3346834292770058,bad
11,12hr,1.5256814075438996,bad
12,12hr,1.3633757214865687,bad
13,12hr,1.5409025935053626,bad
14,12hr,0.8245482535944608,bad
15,12hr,-0.1963047704601091,bad
16,12hr,0.8982545035272359,bad
17,12hr,1.4119001882648414,bad
18,12hr,1.1618440761467843,bad
19,12hr,1.130894356227871,bad
20,24hr,0.4284639719753628,bad
21,24hr,0.882007678695483,bad
22,24hr,1.2373386025469677,bad
23,24hr,1.5841679125377786,bad
24,24hr,0.5985502601369874,bad
25,24hr,-0.25886039214430046,bad
26,24hr,1.7768598694588777,bad
27,24hr,0.8002904682865017,bad
28,24hr,0.6295659613611992,bad
29,24hr,0.5006197912625568,bad
30,36hr,1.2345644592147713,bad
31,36hr,-0.37467089785435703,bad
32,36hr,-0.29708935375204193,bad
33,36hr,-0.0927266902527867,bad
34,36hr,-0.8762835337424986,bad
35,36hr,-1.6139547280302708,bad
36,36hr,0.29332231749930954,bad
37,36hr,-0.5699956737474963,bad
38,36hr,-0.8353520401210784,bad
39,36hr,-0.6973916426509092,bad
40,48hr,2.4426382655192294,bad
41,48hr,-0.8178786807908289,bad
42,48hr,-0.4899808652412043,bad
43,48hr,-0.18666818737871077,bad
44,48hr,-1.2880511799062622,bad
45,48hr,-1.832510926923906,bad
46,48hr,-0.25644126181237725,bad
47,48hr,-1.0590397569377041,bad
48,48hr,-1.298621916291469,bad
49,48hr,-1.573872729036623,bad
50,72hr,1.3483871239855487,bad
51,72hr,-0.7508134812220648,bad
52,72hr,-0.9059145096425241,bad
53,72hr,-0.521280837972228,bad
54,72hr,-1.1979135868050474,bad
55,72hr,-1.3129458712739543,bad
56,72hr,0.0010816093014597294,bad
57,72hr,-0.32941586353074404,bad
58,72hr,-0.5370531747448941,bad
59,72hr,-0.6883467765686591,bad
