,variable,value,status
0,0hr,1.1102230246251565e-16,good
1,0hr,-5.551115123125783e-17,good
2,0hr,-2.7755575615628914e-17,good
3,0hr,5.551115123125783e-17,good
4,0hr,0.0,good
5,0hr,-1.1102230246251565e-16,good
6,0hr,0.0,good
7,0hr,-2.7755575615628914e-17,good
8,0hr,-5.551115123125783e-17,good
9,0hr,5.551115123125783e-17,good
10,12hr,0.3346834292770058,good
11,12hr,-0.08366215873196231,good
12,12hr,-0.19857513917406527,good
13,12hr,-0.30449619197350164,good
14,12hr,0.21881732663287276,good
15,12hr,0.7297950276617418,good
16,12hr,-0.14823821744204127,good
17,12hr,-0.10443733008807582,good
18,12hr,0.5145249146134645,good
19,12hr,0.0964195344810175,good
20,24hr,0.4284639719753628,good
21,24hr,0.16747266132785105,good
22,24hr,-0.06403045687768981,good
23,24hr,-0.06624441260939125,good
24,24hr,0.43497584716082777,good
25,24hr,0.9435418137609772,good
26,24hr,-0.06577521677846075,good
27,24hr,0.18431642618300398,good
28,24hr,0.4657387304057242,good
29,24hr,0.22149606734435442,good
30,36hr,1.2345644592147713,good
31,36hr,1.1616433997658864,good
32,36hr,1.2137854027460482,good
33,36hr,1.251979178583282,good
34,36hr,1.1336714341255432,good
35,36hr,1.5403814806868146,good
36,36hr,1.180427013498692,good
37,36hr,1.3298126950692744,good
38,36hr,1.317823150010263,good
39,36hr,1.3241253816744365,good
40,48hr,2.4426382655192294,good
41,48hr,2.4808594585312855,good
42,48hr,2.2298802199073635,good
43,48hr,2.247629375748448,good
44,48hr,2.4937784735696273,good
45,48hr,2.675697482277382,good
46,48hr,2.307314666964283,good
47,48hr,2.392370488721414,good
48,48hr,2.3862052037801345,good
49,48hr,2.518736783476302,good
50,72hr,1.3483871239855487,good
51,72hr,0.7932633594266069,good
52,72hr,0.9474641880966239,good
53,72hr,1.0473127636186994,good
54,72hr,1.2113354664125677,good
55,72hr,1.592704594059108,good
56,72hr,1.139234028881835,good
57,72hr,1.0799891709992464,good
58,72hr,1.2532688804029646,good
59,72hr,0.997596183362631,good
